code,name,steam,valve,flowerCol,flowerShape
1,ツボスミレ,有茎種,側弁有毛,白,
2,ダイセンキスミレ,有茎種,側弁有毛,黄,
3,アオイスミレ,有茎種,側弁有毛,淡紫(白に近い),
4,ナガバタチツボスミレ,有茎種,側弁無毛,淡紫～濃紫,
5,オオタチツボスミレ,有茎種,側弁無毛,帯赤淡紫,
6,ナガハシスミレ,有茎種,側弁無毛,淡紅紫,
7,サンインタチツボスミレ,有茎種,側弁無毛,淡紫,
8,イワフネタチツボスミレ,有茎種,側弁無毛,淡紅紫,
9,ムラカミタチツボスミレ,有茎種,側弁無毛,帯赤淡紫,
10,アリアケスミレ,無茎種,側弁有毛,白地に赤紫のすじ,
11,スミレ,無茎種,側弁有毛,濃紫,
12,ヒメスミレ,無茎種,側弁有毛,濃紫,
13,ヒゲコスミレ,無茎種,側弁有毛,淡紅紫,
14,シロバナツクシコスミレ,無茎種,側弁有毛,白,
15,ヒゴスミレ,無茎種,側弁有毛,白、または淡紅,
16,アカネスミレ,無茎種,側弁有毛,紅紫,
17,スミレサイシン,無茎種,側弁無毛,淡青紫,
18,シハイスミレ,無茎種,側弁無毛,淡紅紫～濃紅紫,
19,ノジスミレ,無茎種,側弁無毛,濃紫,
20,コスミレ,無茎種,側弁無毛,淡紅紫,
21,,,,,
